title,genres,year
Defiance,Drama/Thriller,2008
Zeitgeist: Addendum,Documentary,2008
Dr. Jack,Comedy,1922
Marley & Me,Comedy/Drama,2008
Decoy,Crime/Drama,1946
Blackout,Mystery/Thriller,2008
Jesse Stone: Night Passage,Crime/Drama,2006
High And Dizzy,Comedy,1920
Now Or Never,Comedy,1921
"Good Guys And The Bad Guys, The",Comedy/Western,1969
Shadow Company,Documentary/War,2006
Satan Met A Lady,Comedy/Drama,1936
Jack Brooks: Monster Slayer,Action/Comedy,2007
Ce Que Mes Yeux Ont Vu,Drama/Mystery,2007
Poultrygeist: Night Of The Chicken Dead,Comedy/Horror,2006
"General Died At Dawn, The",Adventure/Crime,1936
"Have Rocket, Will Travel",Comedy/Sci-Fi,1959
Brotherhood Of Death,Action/Drama,1976
Man With The Gun,Western,1955
American Ninja 4: The Annihilation,Action,1990
Wendy And Lucy,Drama,2008
Open Season 2,Adventure/Animation,2008
Last Chance Harvey,Drama/Romance,2008
Dallas,Western,1950
Ip Man,Action/Drama,2008
"Dungeonmaster, The",Fantasy/Horror,1985
Howling V: The Rebirth,Horror,1989
"Young Visiters, The",Comedy/Romance,2003
Replicant,Action/Sci-Fi,2001
"Duel At Silver Creek, The",Western,1952
"Recruiter, The",Documentary,2008
Habana Blues,Drama/Musical,2005
Passengers,Drama/Mystery,2008
"Tale Of Despereaux, The",Adventure/Animation,2008
Bride Wars,Comedy/Romance,2009
"Gamers, The: Dorkness Rising",Action/Adventure,2008
My Bloody Valentine 3-D,Horror/Thriller,2009
Castaway,Adventure/Drama,1986
Island In The Sun,Drama/Romance,1957
Liberty Kid,Drama,2007
"Fûke, De",Drama/War,2000
Battle In Seattle,Action/Drama,2007
Fuel,Documentary,2008
Aspen,Documentary,1991
Model,Documentary,1980
Fire And Ice,Adventure/Fantasy,2008
Hamlet,Drama,2000
Punk'S Not Dead,Documentary,2007
Underworld: Rise Of The Lycans,Action/Fantasy,2009
Inkheart,Adventure/Fantasy,2008
Gun The Man Down,Western,1956
Albuquerque,Romance/Western,1948
This Filthy World,Comedy/Documentary,2006
"Soviet Story, The",Documentary,2008
Shoot On Sight,Crime/Drama,2007
The Alphabet Killer,Crime/Mystery,2008
Revenge Of The Nerds Iii: The Next Generation,Comedy,1992
Revenge Of The Nerds Iv: Nerds In Love,Comedy/Romance,1994
Soup To Nuts,Comedy/Romance,1930
Chinese Coffee,Drama,2000
Save Me,Drama,2007
"Lazarus Project, The",Drama/Thriller,2008
"Man, The",Drama,1972
Paul Blart: Mall Cop,Action/Comedy,2009
Notorious,Drama/Musical,2009
"Unborn, The",Horror/Mystery,2009
Donkey Punch,Horror/Thriller,2008
Make It Happen,Drama,2008
Three Strangers,Crime/Drama,1946
Repo! The Genetic Opera,Fantasy/Horror,2008
Edge Of Madness,Drama,2002
"Uninvited, The",Drama/Horror,2009
12:01,Comedy/Romance,1993
Game Over,Crime/Drama,2005
Maria,Drama,2003
Night Train,Action/Mystery,2009
"Big Stampede, The",Western,1932
Blue,Romance/Western,1968
Outlander,Action/Adventure,2008
Belle Of The Nineties,Comedy/Western,1934
Branded,Western,1950
"Dead Calling, A",Horror,2006
Beachhead,Drama/War,1954
"Signos Del Zodiaco, Los",Drama,1964
Passchendaele,Action/Drama,2008
Go Go Tales,Comedy/Drama,2007
Wrestling With Alligators,Drama,1998
"Badlanders, The",Romance/Western,1958
Black Widow,Drama/Mystery,1954
Dead Husbands,Comedy/Drama,1998
Bad Luck Love,Crime/Drama,2000
"Grudge 3, The",Horror,2009
Indictment: The Mcmartin Trial,Drama/Thriller,1995
Eden Lake,Horror/Thriller,2008
"Triumph Of The Nerds, The: The Rise Of Accidental Empires",Documentary,1996
Coraline,Animation/Fantasy,2009
Point Of Order,Documentary,1964
Chocolate,Action/Drama,2008
Blackout,Horror/Thriller,2007
Terrorvision,Comedy/Horror,1986
"Escapist, The",Thriller,2008
Push,Sci-Fi/Thriller,2009
"International, The",Drama/Thriller,2009
Two Lovers,Drama/Romance,2008
He'S Just Not That Into You,Comedy/Drama,2009
Dead Like Me: Life After Death,Comedy/Fantasy,2009
California,Romance/Western,1946
Canyon Passage,Action/Romance,1946
"Con, The",Comedy/Crime,1998
Husbands,Drama,1970
"Cimarron Kid, The",Western,1952
"Avenging Conscience, The",Drama/Horror,1914
Futurama: Into The Wild Green Yonder,Action/Animation,2009
Hotel For Dogs,Adventure/Children,2009
The Deadly Trackers,Drama/Western,1973
Comet In Moominland,Adventure/Animation,1992
"11Th Hour, The",Documentary,2007
Fireflies In The Garden,Drama,2008
Afro Samurai: Resurrection,Animation,2009
Café Lumière,Drama,2003
"Last Movie, The",Drama,1971
Jesus Christ Superstar,Drama/Musical,2000
Trancers,Action/Sci-Fi,1985
Taking Chance,Drama/War,2009
Americaneast,Drama,2008
My Name Is Bruce,Comedy/Horror,2007
Man In The Chair,Comedy/Drama,2007
Robinson In Space,Documentary/Sci-Fi,1997
"Way Of War, The",Action/Thriller,2009
Kimberly,Comedy/Romance,1999
Ping Pong Playa,Comedy,2007
Funny People,Comedy/Drama,2009
Berlin Calling,Comedy/Drama,2008
Against The Dark,Action/Horror,2009
Firepower,Action/Drama,1979
Nuremberg,Drama/War,2000
Bigger Than Life,Drama/Mystery,1956
Going To Kansas City,Drama/Romance,1998
Red Sands,Action/Horror,2009
Show Me,Crime/Drama,2004
"Lost, The",Thriller,2009
Still Waiting...,Comedy,2009
Pistol Whipped,Action/Drama,2008
Flight Of Fury,Action,2007
"Far Horizons, The",Western,1955
Container,Drama/Horror,2006
Mystery Team,Comedy/Crime,2009
Moordwijven,Comedy,2007
"Gunfight At Dodge City, The",Western,1959
His Private Secretary,Comedy/Romance,1933
Street Fighter: The Legend Of Chun-Li,Action/Adventure,2009
Urban Justice,Action,2007
Tyler Perry'S Madea Goes To Jail,Comedy/Crime,2009
"Black Watch, The",Adventure/Drama,1929
Away We Go,Comedy/Drama,2009
Hell To Eternity,Drama/War,1960
"Unsuspected, The",Drama/Film-Noir,1947
Beautiful Ohio,Comedy/Drama,2006
"Big Lift, The",Drama/War,1950
"Divo, Il",Drama,2008
Paris,Comedy/Drama,2008
Adrift In Manhattan,Drama,2007
Friday The 13Th,Horror,2009
Screamers: The Hunting,Sci-Fi/Thriller,2009
"Pink Panther 2, The",Adventure/Comedy,2009
Crips And Bloods: Made In America,Documentary,2008
Far Cry,Action/Adventure,2008
Glenn Killing På Berns,Comedy,1993
"English Surgeon, The",Documentary,2007
Marius,Comedy/Drama,1931
César,Comedy/Drama,1936
They Wait,Horror/Mystery,2007
"Rebel, The",Action/Drama,2006
Attack Force,Action/Horror,2006
Shadow Man,Action,2006
Playing For Keeps,Comedy,1986
Rock-A-Doodle,Adventure/Animation,1991
Tokyo.Sora,Drama,2002
Dead Silent,Thriller,1999
Dr. Horrible'S Sing-Along Blog,Comedy/Drama,2008
Today You Die,Action/Crime,2005
"Cottage, The",Comedy/Crime,2008
Fanny,Comedy/Drama,1932
Out At The Wedding,Comedy/Romance,2007
"Hasty Heart, The",Drama,1949
Frontrunners,Documentary,2008
"Quick And The Dead, The",Western,1987
Day Of The Dead,Horror,2008
"I Love You, Man",Comedy,2009
"Big Steal, The",Adventure/Drama,1949
Billy Budd,Adventure,1962
Night Has A Thousand Eyes,Drama/Film-Noir,1948
Live Free Or Die,Comedy/Crime,2006
Blonde Venus,Drama,1932
Dance Of The Dead,Adventure/Comedy,2008
"Haunting In Connecticut, The",Horror/Thriller,2009
"Little Engine That Could, The",Animation/Children,1991
Duplicity,Crime/Romance,2009
Knowing,Action/Drama,2009
Sugar,Drama,2008
Praying With Lior,Documentary,2008
Bloodbath At The House Of Death,Comedy/Horror,1984
Sunshine Cleaning,Comedy/Drama,2008
Kung Fu Panda: Secrets Of The Furious Five,Action/Animation,2008
Hangman'S Knot,Western,1952
Immortal Sergeant,Drama/War,1943
"Children Of Leningradsky, The",Documentary,2005
Submerged,Action,2005
Stacy,Comedy/Horror,2001
Insanitarium,Horror/Thriller,2008
Illegal,Crime/Drama,1955
Echelon Conspiracy,Action/Mystery,2009
Jasminum,Comedy/Drama,2006
After Sex,Comedy/Drama,2007
13B,Horror/Mystery,2009
Monsters Vs. Aliens,Animation/Sci-Fi,2009
Boarding Gate,Thriller,2007
Sita Sings The Blues,Animation/Musical,2008
Naked Fear,Horror/Thriller,2007
Chaos,Crime/Drama,2005
Three On A Match,Crime/Drama,1932
Kogel Mogel,Comedy,1988
"Baader Meinhof Komplex, Der",Action/Crime,2008
Big Stan,Comedy,2007
Dating The Enemy,Comedy/Romance,1996
Blue Steel,Western,1934
We Live In Public,Documentary,2009
Strictly Sexual,Comedy/Drama,2008
Nothing But The Truth,Drama/Thriller,2008
"Square, The",Thriller,2008
"Gray Man, The",Crime/Thriller,2007
Anvil! The Story Of Anvil,Documentary/Musical,2008
Border Incident,Crime/Drama,1949
Star Of Midnight,Comedy/Mystery,1935
Observe And Report,Action/Comedy,2009
Private Lives,Comedy/Drama,1931
Too Many Girls,Comedy/Musical,1940
Union Station,Drama/Film-Noir,1950
Adventureland,Comedy/Drama,2009
Scenes Of A Sexual Nature,Comedy/Drama,2006
"Cake Eaters, The",Drama,2007
Confessions Of A Shopaholic,Comedy/Romance,2009
"Black Balloon, The",Drama,2008
The Butterfly Effect 3: Revelations,Drama/Fantasy,2009
Revanche,Crime/Drama,2008
One Kill,Crime/Drama,2000
Killer Force,Action/Thriller,1976
"Lucky Ones, The",Comedy/Drama,2008
Cialo,Comedy/Crime,2003
Fitna,Documentary,2008
Dragonball Evolution,Action/Adventure,2009
Flash Gordon,Action/Adventure,1936
Rest Stop,Horror/Thriller,2006
Kansas Raiders,Action/Adventure,1950
"Lonely Man, The",Western,1957
Dating Games People Play,Comedy,2005
Man On The Flying Trapeze,Comedy,1935
Porgy And Bess,Drama/Musical,1959
Can-Can,Comedy/Musical,1960
Pekka Ja Pätkä Lumimiehen Jäljillä,Comedy,1954
Law And Order,Action/Romance,1953
"Gravedancers, The",Horror/Thriller,2006
Broken,Horror/Thriller,2006
Kiler,Comedy/Crime,1997
City Girl,Drama/Romance,1930
Hangover Square,Crime/Drama,1945
Superstar: The Karen Carpenter Story,Drama/Musical,1988
"Force Of One, A",Action/Crime,1979
Gardens Of The Night,Drama,2008
In The Loop,Comedy,2009
Global Metal,Documentary,2008
"End Of America, The",Documentary,2008
What Doesn'T Kill You,Crime/Drama,2008
Crime Wave,Crime/Drama,1954
Escape From Fort Bravo,Western,1953
Ride Lonesome,Western,1959
Pirate Radio,Comedy/Drama,2009
Apollo 13: To The Edge And Back,Documentary,1994
"Small Back Room, The",Romance/Thriller,1949
"Mindscape Of Alan Moore, The",Documentary,2003
17 Again,Comedy/Drama,2009
Nana,Drama,2005
Double Trouble,Action/Comedy,1984
Inglourious Basterds,Action/Drama,2009
State Of Play,Crime/Drama,2009
"Lawless Breed, The",Action/Romance,1953
Lust For Gold,Romance/Western,1949
Lawless Range,Western,1935
Bab'Aziz -The Prince Who Contemplated His Soul,Drama,2005
"Damned United, The",Drama,2009
Hank And Mike,Comedy,2008
Crank: High Voltage,Action/Comedy,2009
"Garage, The",Comedy,1920
"Strong Man, The",Comedy,1926
"Man Behind The Gun, The",Western,1953
Moon,Drama/Mystery,2009
Break Up,Thriller,1998
Fraternity Demon,Comedy,1992
"Smart Set, The",Comedy/Drama,1928
Aamir,Drama/Thriller,2008
"Young Victoria, The",Drama/Romance,2009
Amazing Journey: The Story Of The Who,Documentary,2007
"Informers, The",Crime/Drama,2008
X-Men Origins: Wolverine,Action/Sci-Fi,2009
"Girlfriend Experience, The",Drama,2009
"Desert Trail, The",Western,1935
Moving Midway,Documentary,2007
American Swing,Documentary,2008
Sin Nombre,Crime/Drama,2009
"Life And Times Of Allen Ginsberg, The",Documentary,1994
Star Trek,Action/Adventure,2009
Happy Campers,Comedy,2001
Lymelife,Comedy/Drama,2008
"Great Buck Howard, The",Comedy,2008
Riders Of Destiny,Romance/Western,1933
Xiii: The Conspiracy,Action/Crime,2008
Knights Of Bloodsteel,Fantasy,2009
Täynnä Tarmoa,Documentary,2009
Wild Things: Diamonds In The Rough,Mystery/Thriller,2005
Earth,Documentary,2007
Sagebrush Trail,Western,1933
Stanley Kubrick: A Life In Pictures,Documentary,2001
"Lady Takes A Chance, A",Comedy/Romance,1943
Shuttle,Crime/Drama,2008
Crossing Over,Drama,2009
Angels & Demons,Crime/Drama,2009
"Kids In The Hall: Same Guys, New Dresses",Comedy/Documentary,2001
"Man From Monterey, The",Western,1933
Horrorvision,Horror,2001
Daylight Robbery,Crime/Drama,2008
Scorpio,Action/Drama,1973
Balls Out: Gary The Tennis Coach,Comedy,2009
Outrage,Documentary,2009
"Seduction Of Joe Tynan, The",Drama,1979
Man In The Middle,Drama/War,1963
More Dead Than Alive,Romance/Western,1968
Powder Blue,Drama,2009
"Devil Is A Woman, The",Comedy/Drama,1935
Fanboys,Adventure/Comedy,2009
Folks!,Comedy,1992
Breaking The Rules,Comedy/Drama,1992
Live!,Comedy/Drama,2007
"Merry Gentleman, The",Drama,2008
"Murder Of Fred Hampton, The",Crime/Documentary,1971
Incendiary,Drama/Mystery,2008
Management,Comedy/Romance,2008
Terminator Salvation,Action/Adventure,2009
Night At The Museum: Battle Of The Smithsonian,Action/Comedy,2009
Ghosts Of Cité Soleil,Action/Documentary,2006
How To Cook Your Life,Documentary,2007
Were The World Mine,Adventure/Fantasy,2008
Every Little Step,Documentary,2008
Lesbian Vampire Killers,Action/Comedy,2009
"Brothers Bloom, The",Adventure/Comedy,2008
Man In The Saddle,Western,1951
Montana,Action/Adventure,1950
Vincere,Drama/Romance,2009
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",Drama,1975
Hi Diddle Diddle,Comedy,1943
Rhinoceros,Comedy/Drama,1974
"Man With Bogart'S Face, The",Comedy,1980
"Monster, The",Comedy/Horror,1925
Chop Shop,Drama,2007
Caliber 9,Action/Crime,1972
Moontide,Drama/Film-Noir,1942
Catacombs,Horror/Thriller,2007
"Soloist, The",Drama/Musical,2009
"Last House On The Left, The",Drama/Horror,2009
Drag Me To Hell,Comedy/Horror,2009
Up,Adventure/Animation,2009
Easy Virtue,Comedy/Romance,2008
Dance Flick,Comedy/Musical,2009
Show People,Comedy/Romance,1928
Female,Comedy/Drama,1933
Firecreek,Western,1968
"Flame Of New Orleans, The",Comedy/Romance,1941
Flash Gordon'S Trip To Mars,Action/Sci-Fi,1938
Personal Effects,Drama,2009
Fired Up,Comedy,2009
The Winslow Boy,Children/Crime,1948
Trojan War,Comedy,1997
"War Game, The",Documentary/Drama,1965
Without A Paddle: Nature'S Calling,Adventure/Comedy,2009
Welcome,Drama,2009
In The Electric Mist,Drama/Mystery,2009
"Hangover, The",Comedy/Crime,2009
Killshot,Action/Crime,2008
Antichrist,Drama/Fantasy,2009
Don,Action/Comedy,1978
Sweeney Todd,Crime/Drama,2006
Pete Kelly'S Blues,Crime/Drama,1955
Jimmy And Judy,Crime/Drama,2006
"Song Is Born, A",Comedy/Musical,1948
Billu,Comedy/Drama,2009
Many Rivers To Cross,Comedy/Romance,1955
Zakochani,Comedy/Romance,2000
Show,Comedy/Crime,2003
Boy Eats Girl,Comedy/Horror,2005
"Man From Utah, The",Action/Adventure,1934
Ernest Rides Again,Children/Comedy,1993
Blind Husbands,Drama/Romance,1919
Berlin Alexanderplatz,Drama,1980
Before The Rains,Drama/Romance,2007
Special,Drama/Fantasy,2006
New In Town,Comedy/Romance,2009
The Merry Widow,Comedy/Drama,2007
Salaam Namaste,Comedy/Musical,2005
Land Of The Lost,Action/Adventure,2009
"Clique, The",Comedy,2008
Fatso,Comedy,2008
"Free Soul, A",Drama,1931
Momma'S Man,Drama,2008
Imagine That,Comedy/Drama,2009
"Taking Of Pelham 1 2 3, The",Crime/Drama,2009
Fade To Black,Mystery/Thriller,2006
Chain Reaction,Horror,2006
Jekyll + Hyde,Horror/Thriller,2006
Went The Day Well?,Thriller/War,1942
Zulu Dawn,Action/Drama,1979
American Violet,Drama,2008
Wrestling Ernest Hemingway,Drama/Romance,1993
Cargo,Adventure/Drama,2006
"Hitman, The",Action/Crime,1991
Goodbye Again,Drama/Romance,1961
"Stoning Of Soraya M., The",Crime/Drama,2008
"Proposal, The",Comedy/Romance,2009
"Crawling Hand, The",Horror/Sci-Fi,1963
Dillinger,Action/Crime,1973
Home From The Hill,Drama/Romance,1960
Small Town Gay Bar,Documentary,2006
Year One,Adventure/Comedy,2009
O'Horten,Comedy/Drama,2007
Pekka Ja Pätkä Neekereinä,Comedy,1960
5 Against The House,Crime/Drama,1955
Mindwarp,Horror/Sci-Fi,1992
"Land That Time Forgot, The",Adventure/Sci-Fi,1975
Tyson,Documentary,2008
Primary,Documentary,1960
Garfield'S Pet Force,Animation,2009
Dutchman,Drama,1967
"Hurt Locker, The",Action/Drama,2008
Air Hawks,Action/Drama,1935
Anna Lucasta,Drama,1958
Tu£Sday,Action/Crime,2008
Breakfast With Scot,Drama/Romance,2007
"Ronde, La",Drama,1950
Going Berserk,Comedy,1983
Luther The Geek,Horror,1990
"Vampires, Les",Action/Adventure,1915
"Limits Of Control, The",Crime/Drama,2009
Pornorama,Comedy,2007
Heavy Metal In Baghdad,Documentary/Musical,2007
Raiders Of The Lost Ark: The Adaptation,Action/Adventure,1989
Transformers: Revenge Of The Fallen,Action/Adventure,2009
Home,Documentary,2009
K2,Adventure/Drama,1991
D@Bbe,Horror/Thriller,2006
Tulpan,Comedy/Drama,2008
"File On Thelma Jordan, The",Crime/Drama,1950
Bling: A Planet Rock,Documentary,2007
Jet Pilot,Drama,1957
Phoebe In Wonderland,Drama/Fantasy,2008
Whatever Works,Comedy/Romance,2009
Ghosts Of Girlfriends Past,Comedy/Fantasy,2009
Holly,Drama,2006
Hustle,Crime/Drama,1975
Houdini,Drama,1953
Public Enemies,Crime/Drama,2009
Ice Age: Dawn Of The Dinosaurs,Action/Adventure,2009
120,Drama/War,2008
Prison Break: The Final Break,Action/Drama,2009
Samson And Delilah,Drama,2009
Final Approach,Sci-Fi/Thriller,1991
"Mob, The",Crime/Drama,1951
Daisy Kenyon,Drama/Romance,1947
Daria: Is It College Yet?,Animation/Comedy,2002
Resan Till Melonia,Adventure/Animation,1989
Love Streams,Comedy/Drama,1984
Night Of The Living Dead 3D,Adventure/Comedy,2006
Mumia Abu-Jamal: A Case For Reasonable Doubt?,Documentary,1997
Off The Charts: The Song-Poem Story,Documentary,2003
My Sister'S Keeper,Drama,2009
Hood Of Horror,Comedy/Drama,2006
"Dirt Bike Kid, The",Children/Comedy,1985
Lady Death,Action/Animation,2004
Blonde Crazy,Comedy/Crime,1931
Watchmen: Tales Of The Black Freighter,Action/Adventure,2009
Pittsburgh,Drama,1942
"Lucky Texan, The",Romance/Western,1934
Magnificent Obsession,Drama/Romance,1935
Madame Bovary,Drama/Romance,1949
"Boys: The Sherman Brothers' Story, The",Documentary,2009
1939: Hollywood'S Greatest Year,Documentary,2009
Madigan,Crime/Drama,1968
Toughguy,Crime/Drama,1995
"Librarian, The: The Curse Of The Judas Chalice",Action/Adventure,2008
The Inhabited Island,Fantasy/Sci-Fi,2008
Odgrobadogroba,Comedy/Drama,2005
Franklyn,Drama/Fantasy,2008
Men Of War,Action/Drama,1994
Iron Maiden: Flight 666,Documentary,2009
Good Dick,Comedy/Drama,2008
Harry Potter And The Half-Blood Prince,Adventure/Fantasy,2009
Roots,Drama/War,1977
Mélo,Drama/Romance,1986
Eichmann,Drama/War,2007
Blue Blood,Documentary,2006
Who Killed Nancy?,Documentary,2009
Summer Of Fear,Drama/Horror,1996
Open Water 2: Adrift,Drama/Thriller,2006
Possessed,Drama/Horror,2000
"Group, The",Drama,1966
Senso,Drama/Romance,1954
Slap Shot 2: Breaking The Ice,Comedy,2002
"Mark Of Cain, The",Drama,2007
"Strawberry Blonde, The",Comedy/Romance,1941
"Muppet Musicians Of Bremen, The",Children/Comedy,1972
My Sassy Girl,Comedy/Drama,2008
"Fast And The Furious, The",Crime/Mystery,1955
Rosso,Crime/Drama,1985
"Imaginarium Of Doctor Parnassus, The",Drama/Fantasy,2009
Sink Or Swim,Documentary,1990
Ludwig,Drama,1972
Haaveiden Kehä,Drama,2002
Winter Of Frozen Dreams,Crime/Thriller,2009
Humpday,Comedy,2009
Ten Inch Hero,Comedy/Drama,2007
Tokyo Sonata,Drama,2008
Kill Your Darlings,Comedy/Drama,2006
Polytechnique,Crime/Drama,2009
Visioneers,Comedy,2008
"Vault Of Horror, The",Horror/Mystery,1973
"Dark Backward, The",Comedy,1991
Blue City,Action/Crime,1986
Judas Kiss,Crime/Drama,1998
Streets Of Blood,Action/Thriller,2009
Jonathan Livingston Seagull,Drama,1973
Cheri,Romance,2009
One Week,Adventure/Drama,2008
"Run, Simon, Run",Adventure/Thriller,1970
'Neath The Arizona Skies,Western,1934
Pavement: Slow Century,Documentary,2002
Mortel Transfert,Comedy/Crime,2001
Loulou,Drama/Romance,1980
Rage At Dawn,Western,1955
Paradise Canyon,Crime/Western,1935
"Perfect Fake, A",Documentary,2005
Seven Years Bad Luck,Comedy,1921
"Gang'S All Here, The",Comedy/Musical,1943
Orphan,Drama/Horror,2009
Afterburn,Drama,1992
Fragments,Crime/Drama,2008
Rainbow Valley,Action/Romance,1935
"Ugly Truth, The",Comedy/Drama,2009
Wild River,Drama/Romance,1960
My First War,Documentary,2008
High Hopes,Comedy,1988
Tulsa,Action/Drama,1949
"Collector, The",Crime/Horror,2009
"Perfect Getaway, A",Horror/Thriller,2009
Dark Ride,Horror/Thriller,2006
House,Drama/Horror,2008
Dallas 362,Drama,2003
Moonshot,Drama,2009
Aliens In The Attic,Adventure/Children,2009
District 9,Mystery/Sci-Fi,2009
Julie & Julia,Comedy/Drama,2009
Obsessed,Crime/Drama,2009
Race To Witch Mountain,Adventure/Children,2009
Hannah Montana: The Movie,Comedy/Drama,2009
G.I. Joe: The Rise Of Cobra,Action/Adventure,2009
Séraphine,Drama/War,2008
Cold Souls,Comedy/Drama,2009
12 Rounds,Action/Thriller,2009
"Silent Night, Deadly Night Part 2",Comedy/Horror,1987
The Boys From Fengkuei,Drama,1983
The Sandwich Man,Drama,1983
Where Danger Lives,Drama/Film-Noir,1950
"Killing Room, The",Drama/Mystery,2009
Introducing Dorothy Dandridge,Drama/Musical,1999
A Summer At Grandpa'S,Drama,1984
"A Time To Live, A Time To Die",Drama,1985
Fail Safe,Drama/Thriller,2000
Max Manus,Action/Drama,2008
"Trail Beyond, The",Action/Adventure,1934
Winds Of The Wasteland,Western,1936
Kill Buljo: The Movie,Action/Comedy,2007
Stone Of Destiny,Adventure/Comedy,2008
Okie Noodling,Documentary,2001
Days Of Darkness,Comedy/Drama,2007
Randy Rides Alone,Western,1934
West Of The Divide,Romance/Western,1934
Lost In Austen,Drama/Fantasy,2008
Je Suis Né D'Une Cigogne,Comedy/Fantasy,1999
"Star Packer, The",Action/Romance,1934
Moliere,Drama,1978
"Deal, The",Comedy,2008
Doing Time On Maple Drive,Drama,1992
"Ramen Girl, The",Comedy/Drama,2008
"Goods: Live Hard, Sell Hard, The",Comedy,2009
Adam,Drama/Romance,2009
Alien Trespass,Comedy/Sci-Fi,2009
Ignition,Action/Drama,2001
Dillinger And Capone,Crime/Drama,1995
"Next Stop, Greenwich Village",Comedy,1976
Gigantic,Comedy/Romance,2008
"Time Traveler'S Wife, The",Drama/Romance,2009
Feast Ii: Sloppy Seconds,Action/Comedy,2008
Katze Im Sack,Drama,2005
Waterland,Drama,1992
I Can'T Think Straight,Drama/Romance,2007
Miss March,Comedy,2009
Bandslam,Comedy/Drama,2009
A City Of Sadness,Drama,1989
Harvard Beats Yale 29-29,Documentary,2008
"Great Happiness Space, The: Tale Of An Osaka Love Thief",Documentary,2006
Tyler Perry'S Meet The Browns,Comedy/Drama,2008
"I Love You, Beth Cooper",Comedy/Romance,2009
Daughter Of The Nile,Drama,1987
Paper Heart,Comedy/Documentary,2009
Mystery Street,Crime/Drama,1950
"Haunting Of Molly Hartley, The",Drama/Horror,2008
G-Force,Action/Adventure,2009
Christopher Columbus: The Discovery,Adventure,1992
Fighting,Action/Drama,2009
Tetro,Drama/Mystery,2009
"Good Men, Good Women",Drama/Romance,1995
Side Street,Crime/Drama,1949
Adoration,Drama,2008
Bronson,Action/Comedy,2009
Feel The Noise,Drama,2007
I Really Hate My Job,Comedy/Drama,2007
"Matador, The",Documentary,2008
Little Richard,Drama,2000
"Curiosity Of Chance, The",Comedy,2006
If Only,Drama/Fantasy,2004
Vengeance Valley,Western,1951
Great Guy,Crime/Drama,1936
"Hurricane Express, The",Adventure/Crime,1932
Paris,Documentary,2007
"Secret Of Moonacre, The",Adventure/Fantasy,2008
The Shadow Of The Eagle,Crime/Drama,1932
Cinematographer Style,Documentary,2006
"Cell 2, The",Horror/Sci-Fi,2009
Summer School,Horror,2006
Space Odyssey: Voyage To The Planets,Documentary/Drama,2004
Krakatoa: The Last Days,Documentary/Drama,2006
Queen Kelly,Drama,1929
Midnight Bayou,Drama/Mystery,2009
Northern Lights,Drama/Mystery,2009
"Doulos, Le",Crime/Thriller,1962
It Might Get Loud,Documentary,2008
Botched,Comedy/Crime,2007
Lonely Street,Comedy/Mystery,2009
High Noon,Drama/Mystery,2009
Moonfleet,Adventure/Drama,1955
Vacancy 2: The First Cut,Horror/Thriller,2009
"Pom Pom Girls, The",Comedy,1976
Tribute,Drama/Mystery,2009
Post Grad,Comedy,2009
Goodbye Solo,Drama,2008
Long John Silver,Action/Adventure,1954
Questo Piccolo Grande Amore,Comedy/Romance,2009
Voices,Drama/Romance,1979
My Life In Ruins,Comedy,2009
Troll 2,Fantasy/Horror,1990
London,Documentary,1994
Murder Ahoy,Comedy/Crime,1964
Witch Hunt,Documentary,2008
"Dog Year, A",Comedy/Drama,2009
Good,Drama/War,2008
Taking Woodstock,Comedy,2009
Norma Jean & Marilyn,Drama,1996
If These Walls Could Talk,Drama,1996
Halloween Ii,Horror/Thriller,2009
Meteor,Action/Drama,2009
Five Graves To Cairo,Thriller/War,1943
"Dark Corner, The",Crime/Drama,1946
Full Body Massage,Drama,1995
"Day After Trinity, The",Documentary,1981
9,Adventure/Animation,2009
Carry On Screaming!,Comedy/Horror,1966
Green Street Hooligans 2,Action/Crime,2009
Randy And The Mob,Comedy/Crime,2007
"Three Musketeers, The",Action/Adventure,1933
Seven Sinners,Comedy/Drama,1940
Frequently Asked Questions About Time Travel,Comedy/Sci-Fi,2009
Kahlekuningas,Comedy/Drama,2002
Mentiras Y Gordas,Comedy/Drama,2009
Brain Drain,Comedy/Romance,2009
Living With Michael Jackson,Documentary,2003
Green Lantern: First Flight,Action/Adventure,2009
"Most Hated Family In America, The",Documentary,2007
Lies And Illusions,Action/Comedy,2009
Pandorum,Horror/Sci-Fi,2009
Paraíso Travel,Adventure/Drama,2008
Airbag,Action/Comedy,1997
Peter Ibbetson,Drama/Fantasy,1935
Skellig,Drama/Fantasy,2009
Flood,Action/Drama,2007
"Men Who Stare At Goats, The",Action/Comedy,2009
"Hunt For Gollum, The",Action/Adventure,2009
Beast From Haunted Cave,Crime/Horror,1959
All'S Well,Drama,1972
Padre Padrone,Drama,1977
Valentino: The Last Emperor,Documentary,2008
"Pilgrim, The",Comedy,1923
Return Of The Ghostbusters,Comedy,2007
Laid To Rest,Horror,2009
Jennifer'S Body,Comedy/Horror,2009
"Informant!, The",Comedy/Crime,2009
"Great Gabbo, The",Drama/Musical,1929
Hillsborough,Drama,1996
"Tall Men, The",Action/Adventure,1955
Tension,Crime/Drama,1949
Amreeka,Drama,2009
Extract,Comedy,2009
Gamer,Action/Sci-Fi,2009
Cloudy With A Chance Of Meatballs,Animation/Children,2009
Radio Inside,Drama/Romance,1994
